city,timestamp,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_condition
Grenoble,2024-03-12 09:00:00,14.8,74.6,24.8,2.4,pluvieux
Strasbourg,05/04/2024 21:00,10.8,78.4,5.7,0.0,neigeux
Marseille,28/01/2024 23:00,13.3,60.4,45.7,3.5,pluvieux
Bordeaux,29/01/2024 12:00,1.3,84.1,43.3,0.0,brumeux
Marseille,2024-01-15 00:00:00,13.3,87.4,21.7,6.0,orageux
Lille,2024-05-14 14:00:00,15.7,45.4,0.0,0.0,brumeux
Paris,2024-02-12 22:00:00,1.5,93.8,29.6,0.0,brumeux
Nantes,04/17/2024 14:00:00,19.2,51.2,49.4,0.0,pluvieux
Bordeaux,04/25/2024 09:00:00,"19,9",43.6,22.9,0.7,pluvieux
Toulouse,01/06/2024 13:00,35.7,61.7,29.2,6.2,pluvieux
Lille,2024-05-05 22:00:00,"19,9",63.9,26.3,4.0,pluvieux
Bordeaux,2024-02-01 22:00:00,"2,2",55.0,5.2,0.0,pluvieux
Strasbourg,03/26/2024 21:00:00,19.4,73.6,11.9,0.0,pluvieux
Grenoble,2024-02-27 14:00:00,"7,3",43.9,42.8,0.0,neigeux
Lyon,2024-01-18T04:00:00,-1.0,82.9,29.4,0.0,brumeux
Nantes,07/06/2024 20:00,24.4,88.2,7.2,5.7,pluvieux
Bordeaux,04/03/2024 12:00:00,17.2,42.8,41.8,6.1,pluvieux
Rouen,17/03/2024 11:00,14.4,71.2,37.0,0.0,ensoleille
Lyon,2024-02-20T02:00:00,11.2,56.6,18.3,5.4,pluvieux
Bordeaux,06/29/2024 12:00:00,22.6,85.4,44.8,0.0,nuageux
Paris,2024-03-07 09:00:00,16.3,59.6,19.9,0.0,neigeux
Grenoble,02/22/2024 23:00:00,4.4,65.3,14.7,0.0,neigeux
Grenoble,13/03/2024 07:00,7.3,64.8,18.3,0.0,orageux
Toulouse,02/10/2024 01:00:00,6.7,40.1,7.2,0.0,brumeux
Strasbourg,2024-04-28 21:00:00,17.5,82.6,20.6,8.0,orageux
Marseille,2024-05-18T05:00:00,22.1,70.4,31.6,1.5,pluvieux
Strasbourg,2024-05-10T16:00:00,18.2,48.2,42.7,0.0,ensoleille
Nantes,2024-06-24 06:00:00,30.1,58.5,43.2,0.0,nuageux
Paris,2024-06-06T22:00:00,23.1,53.5,30.5,0.0,ensoleille
Paris,04/02/2024 03:00,8.0,69.7,14.5,0.0,brumeux
Marseille,2024-03-09T04:00:00,25.5,90.8,8.0,0.0,brumeux
Paris,2024-01-01 19:00:00,-0.7,59.7,28.4,0.0,ensoleille
Grenoble,2024-02-01 03:00:00,-0.0,40.1,15.6,0.0,pluvieux
Toulouse,2024-06-04 10:00:00,23.1,43.9,26.9,0.0,nuageux
Rouen,29/02/2024 14:00,8.9,91.3,1.6,0.0,nuageux
Lille,02/28/2024 15:00:00,1.8,40.7,21.5,0.0,nuageux
Grenoble,2024-05-20T02:00:00,14.4,85.3,24.1,0.0,brumeux
Rouen,03/26/2024 19:00:00,10.5,82.4,8.2,0.0,nuageux
Lille,01/09/2024 06:00:00,-3.4,67.8,6.7,0.0,neigeux
Rouen,2024-01-14T15:00:00,4.9,72.1,13.3,0.0,orageux
Lille,2024-04-29T05:00:00,5.9,40.2,38.8,0.0,ensoleille
Paris,19/01/2024 23:00,11.6,83.5,30.1,0.0,brumeux
Paris,28/04/2024 13:00,18.2,64.9,42.3,0.0,orageux
Nantes,03/31/2024 04:00:00,9.0,78.9,13.2,0.0,orageux
Lyon,2024-02-08T17:00:00,9.8,63.3,41.1,0.0,orageux
Bordeaux,05/07/2024 22:00:00,13.0,65.9,7.3,5.4,orageux
Strasbourg,2024-01-18 04:00:00,6.3,61.7,38.4,0.0,brumeux
Nantes,2024-06-29 19:00:00,"25,9",50.3,16.2,8.5,pluvieux
Lyon,2024-01-24 04:00:00,5.4,75.6,15.5,0.0,
Bordeaux,10/05/2024 02:00,14.0,64.0,12.2,0.0,nuageux
Strasbourg,2024-04-07T03:00:00,10.9,57.7,7.2,0.0,ensoleille
Marseille,05/23/2024 02:00:00,20.4,54.9,9.1,0.0,nuageux
Toulouse,20/05/2024 01:00,19.8,61.5,24.1,0.0,brumeux
Lyon,2024-03-13 15:00:00,"13,9",50.8,22.0,0.0,nuageux
Toulouse,2024-06-20 16:00:00,31.0,93.3,11.6,0.0,brumeux
Strasbourg,20/04/2024 16:00,6.5,52.2,33.7,0.0,ensoleille
Bordeaux,2024-01-27 06:00:00,4.4,72.7,20.9,0.0,ensoleille
Grenoble,02/01/2024 23:00,7.4,80.3,46.7,0.0,brumeux
Nantes,17/06/2024 20:00,25.1,56.8,9.3,2.4,
Grenoble,2024-04-14 18:00:00,20.4,70.2,38.1,0.0,nuageux
Grenoble,29/05/2024 03:00,"11,6",68.5,22.8,0.0,nuageux
Lille,03/21/2024 17:00:00,10.7,90.1,15.6,0.0,brumeux
Nantes,06/17/2024 12:00:00,23.1,86.4,34.8,0.0,nuageux
Marseille,2024-05-19T05:00:00,18.8,43.1,34.0,0.0,ensoleille
Lille,2024-01-26 01:00:00,6.0,68.0,43.2,0.0,brumeux
Toulouse,16/03/2024 12:00,12.0,64.1,45.3,9.0,orageux
Toulouse,08/03/2024 19:00,75.0,41.5,45.9,5.8,orageux
Marseille,2024-01-11T19:00:00,7.4,82.6,4.9,2.7,pluvieux
Bordeaux,2024-06-04T19:00:00,21.9,62.7,21.6,0.0,ensoleille
Bordeaux,03/06/2024 00:00:00,16.1,72.1,38.7,0.0,
Rouen,2024-04-17T15:00:00,"20,8",50.3,12.8,0.0,ensoleille
Lyon,2024-03-27 18:00:00,8.4,82.5,20.6,0.0,brumeux
Paris,02/03/2024 21:00,17.8,127.4,47.3,0.0,orageux
Nantes,2024-06-24T13:00:00,30.8,50.5,49.8,8.4,pluvieux
Marseille,06/01/2024 01:00,"12,5",41.4,32.4,0.0,orageux
Grenoble,03/03/2024 18:00:00,15.8,48.3,22.4,8.0,pluvieux
Paris,2024-04-01T01:00:00,14.1,68.2,42.5,0.0,brumeux
Marseille,2024-02-02T03:00:00,4.1,53.7,44.8,2.2,pluvieux
Grenoble,01/02/2024 09:00:00,-2.3,62.2,42.5,0.0,brumeux
Paris,2024-03-31 05:00:00,"14,8",93.0,40.8,7.4,orageux
Paris,2024-06-18T21:00:00,26.7,78.1,0.9,5.6,pluvieux
Lille,12/03/2024 08:00,7.0,65.8,26.8,0.0,pluvieux
Grenoble,02/27/2024 05:00:00,6.0,40.3,38.4,5.1,orageux
Strasbourg,2024-03-19T11:00:00,12.9,47.0,25.5,7.7,orageux
Lyon,05/06/2024 12:00,27.0,50.7,6.9,0.0,ensoleille
Rouen,02/01/2024 09:00,-1.9,56.9,23.3,0.0,neigeux
Grenoble,03/01/2024 13:00,"7,7",80.2,28.0,0.0,brumeux
